medicine_name,manufacturer,composition,packaging,price(Rs.)
Bruforte 40,Torrent Pharma,sertraline(200mg),5 ml,133.95
Omexr 40,Dr Reddy,pantoprazole(400 mg),30 tablets,80.8
Doloforte 40,Dabur Pharma,TELMISARTAN-10mg,10 capsules,162.73
Clavforte 250,Alkem Labs,aspirin 250 mg,1 bottle,549.1
Cetxr 20,Sun Pharma,Calcium Carbonate (40 mg),6 tablets,538.0
Augtab 1000,Novartis India,Gabapentin (1000mg),10 tablets,583.45
Dolosol 10,Lupin,Rabeprazole (40mg),1 bottle,13.54
Amoxsol 500,Dabur Pharma,Rosuvastatin (5mg),6 tablets,
Brutab 1000,Alkem Labs,Fluoxetine (5mg),5 ml,344.91
Cettab 500,Dr Reddy,METHYLCOBALAMIN-200mg,10 capsules,161.7
Azeeod 1000,Sun Pharma,CLONAZEPAM-200mg,6 tablets,
Bruplus 250,Wockhardt,fexofenadine 500mg,5 ml,410.66
Azeesr 1000,Torrent Pharma,Amoxicillin (400mg),1 bottle,11.05
Metsol 500,Wockhardt,METHYLCOBALAMIN-250mg,10 tablets,202.9
Doloplus 500,Sun Pharma,Ibuprofen 40  mg,10 capsules,71.84
Clavod 10,Abbott India,metformin(250 mg),10 tablets,460.35
Omecap 250,Aurobindo Pharma,Omeprazole (500mg),30 tablets,552.12
Panplus 10,Cipla,Fexofenadine (1000mg),10 capsules,245.8
Bruod 20,Aurobindo Pharma,Calcium carbonate 250 mg,1 bottle,67.96
Mettab 250,Glenmark,ibuprofen(20 mg),10 capsules,15.27
Doloxr 10,Sanofi India,DOMPERIDONE-200mg,30 tablets,436.98
Bruds 40,Intas Pharma,AMOXICILLIN-500mg,10 capsules,454.59
Doloplus 1000,Intas Pharma,Metoprolol 20 mg,10 capsules,582.4
Azeecin 10,Sanofi India,METOPROLOL-500mg,5 ml,211.54
Augsr 20,Alkem Labs,domperidone 1000mg,6 tablets,417.91
Omesr 250,Glenmark,Clopidogrel 100 mg,15 tablets,301.59
Augforte 40,Alkem Labs,ciprofloxacin(20 mg),15 tablets,230.54
Pands 250,Dr Reddy,Paracetamol (500 mg),30 tablets,92.3
Amoxcap 500,Alkem Labs,Esomeprazole (500mg),15 tablets,532.15
Cetplus 250,Alkem Labs,PREGABALIN-400mg,10 tablets,20.43
Metforte 1000,Intas Pharma,AZITHROMYCIN-250mg,1 bottle,399.26
Cetsol 500,Lupin,Zinc Sulphate (10 mg),15 tablets,323.27
Metds 1000,Dabur Pharma,Fexofenadine (400mg),10 capsules,475.44
Mettab 10,Himalaya,telmisartan(20mg),1 bottle,476.27
Augcap 1000,GSK India,rabeprazole 5 mg,10 capsules,429.79
Clavcin 500,Himalaya,fluoxetine 40 mg,1 bottle,137.96
Clavcap 1000,Wockhardt,ondansetron 5mg,1 bottle,158.68
Clavcin 10,Hetero Drugs,glimepiride(20 mg),15 tablets,311.26
Amoxxr 250,GSK India,fexofenadine 10 mg,30 tablets,114.3
Azeetab 1000,Sanofi India,rosuvastatin 1000mg,10 capsules,556.55
Doloplus 1000,Glenmark,AMOXICILLIN-400mg,15 tablets,449.17
Amoxplus 1000,Torrent Pharma,domperidone(20mg),10 tablets,471.61
Cetxr 500,Sanofi India,Vitamin d3 250 mg,5 ml,142.34
Augforte 250,Pfizer India,clonazepam(200 mg),6 tablets,193.34
Azeecin 1000,Pfizer India,Levocetirizine 5 mg,5 ml,90.26
Bruxr 40,Glenmark,paracetamol 40 mg,15 tablets,453.55
Pancap 500,Sun Pharma,montelukast(250 mg),10 capsules,586.53
Brutab 20,Aurobindo Pharma,Calcium carbonate 200  mg,15 tablets,236.77
Azeecap 250,Mankind Pharma,Diclofenac (100mg),10 tablets,
Metplus 40,Intas Pharma,Domperidone 1000 mg,15 tablets,318.44
Cettab 500,Wockhardt,paracetamol 40mg,1 bottle,325.58
Augcap 20,Intas Pharma,DOXYCYCLINE-20mg,1 bottle,348.45
Augtab 10,Sun Pharma,TRAMADOL-200mg,15 tablets,366.07
Pantab 1000,Pfizer India,Methylcobalamin 40  mg,10 capsules,390.61
Metcap 20,Mankind Pharma,montelukast(1000 mg),1 bottle,442.08
Pansol 500,Aurobindo Pharma,Ranitidine (200 mg),6 tablets,170.08
Azeetab 1000,Wockhardt,Atorvastatin 5 mg,5 ml,53.31
Metds 250,Mankind Pharma,Levothyroxine 10  mg,30 tablets,281.6
Metxr 250,Aurobindo Pharma,tramadol 1000 mg,5 ml,14.36
Omeds 40,Pfizer India,Levothyroxine 20  mg,10 tablets,151.44
Omecap 1000,Sun Pharma,TELMISARTAN-40mg,10 capsules,81.5
Cetsol 40,Pfizer India,PARACETAMOL-200mg,30 tablets,28.39
Amoxsr 250,Aurobindo Pharma,Metformin (5 mg),6 tablets,0.0
Mettab 250,Hetero Drugs,RABEPRAZOLE-5mg,15 tablets,257.64
Cetcap 250,Lupin,DOMPERIDONE-1000mg,5 ml,254.08
Bruxr 250,Alkem Labs,pregabalin(5mg),10 capsules,145.59
Metsr 500,Sun Pharma,paracetamol 1000 mg,1 bottle,47.08
Amoxod 10,Alkem Labs,Esomeprazole (500mg),1 bottle,590.0
Doloxr 40,Lupin,methylcobalamin 40mg,10 capsules,555.34
Panod 20,Dr Reddy,Ranitidine 250  mg,30 tablets,273.76
Clavtab 1000,Abbott India,Alprazolam (200 mg),10 tablets,147.95
Amoxsol 500,Hetero Drugs,OMEPRAZOLE-500mg,1 bottle,230.44
Dolocin 20,Zydus Cadila,calcium carbonate 20 mg,30 tablets,476.73
Metds 250,Glenmark,ibuprofen 400mg,15 tablets,544.73
Augcin 250,Glenmark,ciprofloxacin(1000 mg),15 tablets,522.96
Clavds 500,Dr Reddy,METOPROLOL-5mg,15 tablets,147.9
Cetod 500,Abbott India,MONTELUKAST-40mg,1 bottle,187.44
Bruxr 500,Dr Reddy,Domperidone 200 mg,30 tablets,286.66
Bruxr 250,Sun Pharma,Fexofenadine 20 mg,5 ml,457.24
Augplus 10,Torrent Pharma,METOPROLOL-400mg,1 bottle,175.67
Metcin 250,Alkem Labs,Clopidogrel 20 mg,15 tablets,518.1
Augplus 40,Hetero Drugs,Ondansetron 10  mg,1 bottle,592.61
Bruplus 40,Mankind Pharma,azithromycin(1000 mg),15 tablets,214.36
Metsol 10,Wockhardt,Esomeprazole 500 mg,6 tablets,28.43
Cetplus 500,Dabur Pharma,ibuprofen 20mg,1 bottle,364.47
Clavtab 20,Aurobindo Pharma,Paracetamol (10mg),1 bottle,546.69
Bruod 1000,Sanofi India,fexofenadine 200mg,10 capsules,442.49
Cetplus 40,Hetero Drugs,omeprazole(10mg),5 ml,132.04
Omexr 20,Sun Pharma,Paracetamol 40 mg,10 tablets,254.77
Augcap 20,Zydus Cadila,RANITIDINE-500mg,15 tablets,569.5
Metplus 10,Mankind Pharma,Ranitidine (5mg),5 ml,268.91
Omeplus 250,Dr Reddy,pantoprazole 1000mg,1 bottle,210.55
Panod 250,Torrent Pharma,Cetirizine (250mg),5 ml,
Dolood 10,GSK India,calcium carbonate 5 mg,1 bottle,207.24
Clavcin 1000,Aurobindo Pharma,levothyroxine 400mg,1 bottle,
Azeeplus 40,Dabur Pharma,Ondansetron (20mg),10 tablets,452.85
Dolocin 40,Alkem Labs,Sertraline 5  mg,10 tablets,0.0
Bruod 250,Dabur Pharma,LEVOTHYROXINE-20mg,1 bottle,214.21
Metcap 20,Intas Pharma,Sertraline 10 mg,10 capsules,526.73
Azeesr 500,Dr Reddy,Amoxicillin 20 mg,30 tablets,538.67
Ometab 10,Alkem Labs,GABAPENTIN-400mg,15 tablets,0.0
Amoxsr 40,Abbott India,levothyroxine 1000 mg,6 tablets,80.87
Clavtab 40,Abbott India,fluoxetine 1000mg,10 capsules,211.19
Amoxtab 1000,Abbott India,Rabeprazole 400  mg,15 tablets,59.91
Doloxr 20,Hetero Drugs,domperidone(10mg),15 tablets,444.26
Dolocap 20,Glenmark,Domperidone 1000  mg,5 ml,400.94
Amoxsol 10,Glenmark,Paracetamol 400  mg,15 tablets,410.55
Omeplus 40,Sanofi India,amoxicillin 250 mg,6 tablets,347.79
Metsol 40,Glenmark,Glimepiride (1000 mg),15 tablets,443.55
Azeexr 1000,Mankind Pharma,fluoxetine 1000 mg,10 tablets,258.08
Amoxplus 40,Sanofi India,Ondansetron (1000 mg),6 tablets,554.45
Panplus 10,Himalaya,cetirizine 20mg,5 ml,395.54
Metcin 1000,Alkem Labs,SERTRALINE-100mg,15 tablets,437.77
Omeforte 10,Mankind Pharma,Metoprolol 1000  mg,10 tablets,0.0
Brusol 250,Wockhardt,alprazolam(250 mg),15 tablets,78.33
Augxr 1000,Dr Reddy,Calcium carbonate 40 mg,5 ml,
Azeesol 250,GSK India,Azithromycin (1000mg),6 tablets,355.42
Bruplus 20,Aurobindo Pharma,CETIRIZINE-200mg,1 bottle,82.14
Azeeds 20,Sun Pharma,Gabapentin 40 mg,1 bottle,297.23
Clavcap 250,Mankind Pharma,Azithromycin (5mg),5 ml,336.4
Azeeplus 250,Mankind Pharma,AMLODIPINE-200mg,10 tablets,58.09
Amoxcin 20,Sun Pharma,Gabapentin 40 mg,15 tablets,543.53
Dolood 20,Glenmark,Amlodipine 200  mg,10 capsules,310.27
Amoxsol 500,Alkem Labs,Amoxicillin (400mg),15 tablets,364.47
Amoxxr 40,Novartis India,Amlodipine (10 mg),30 tablets,542.97
Omeplus 40,Novartis India,LOSARTAN-10mg,15 tablets,420.51
Bruxr 250,Zydus Cadila,Alprazolam 40 mg,30 tablets,578.7
Dolotab 1000,Wockhardt,gabapentin(10mg),10 tablets,546.27
Metxr 250,Lupin,Ciprofloxacin (200mg),1 bottle,471.38
Dolood 1000,Lupin,Montelukast 200  mg,10 capsules,334.51
Azeeds 20,Mankind Pharma,Pantoprazole 250  mg,30 tablets,530.16
Cetcap 10,Zydus Cadila,losartan(250mg),6 tablets,344.0
Augcap 10,Wockhardt,esomeprazole(400mg),6 tablets,591.86
Omeplus 10,Abbott India,telmisartan(10 mg),30 tablets,464.18
Pantab 40,Mankind Pharma,Atorvastatin (400mg),10 capsules,177.22
Augds 40,Zydus Cadila,paracetamol(10 mg),1 bottle,598.79
Panxr 40,Alkem Labs,ondansetron(250mg),5 ml,324.32
Azeesol 500,Pfizer India,clonazepam(500mg),15 tablets,52.47
Dolotab 1000,Aurobindo Pharma,Metformin 10  mg,15 tablets,549.11
Amoxsol 250,GSK India,azithromycin 100mg,30 tablets,444.91
Augcin 1000,Pfizer India,Montelukast (5 mg),10 capsules,11.49
Dolocin 250,Mankind Pharma,cetirizine 250mg,1 bottle,263.04
Cetplus 500,GSK India,Metoprolol (10 mg),10 tablets,286.65
Augcap 500,Lupin,ranitidine 400 mg,1 bottle,217.41
Cetxr 10,Intas Pharma,DOMPERIDONE-10mg,10 tablets,448.4
Augds 10,Lupin,domperidone 40 mg,1 bottle,481.49
Omecin 500,Zydus Cadila,Ondansetron 5  mg,10 tablets,100.08
Panxr 10,Wockhardt,aspirin 500mg,10 capsules,179.36
Amoxtab 1000,Mankind Pharma,aspirin(20mg),15 tablets,596.6
Cetsol 20,Sanofi India,Domperidone (40 mg),10 capsules,380.31
Brucin 20,Alkem Labs,ondansetron 500mg,15 tablets,126.19
Brusr 250,Abbott India,CLONAZEPAM-100mg,30 tablets,309.84
Brusol 1000,Hetero Drugs,telmisartan 500 mg,6 tablets,
Clavtab 10,GSK India,levothyroxine 5mg,30 tablets,117.43
Azeecap 1000,Sun Pharma,Montelukast (10mg),6 tablets,221.46
Amoxsol 20,Hetero Drugs,vitamin d3(5 mg),15 tablets,235.36
Metsol 40,Himalaya,Calcium Carbonate (10mg),6 tablets,271.9
Metds 40,GSK India,zinc sulphate 250 mg,5 ml,98.97
Omexr 250,Hetero Drugs,losartan 400 mg,1 bottle,293.83
Cetplus 250,Torrent Pharma,ibuprofen(40mg),6 tablets,573.84
Azeetab 500,Novartis India,Domperidone 1000  mg,5 ml,267.15
Cetcin 500,Torrent Pharma,rabeprazole(1000 mg),15 tablets,
Amoxsol 1000,Sanofi India,alprazolam(20 mg),30 tablets,427.29
Cetplus 500,Intas Pharma,AMOXICILLIN-400mg,10 tablets,168.1
Dolood 1000,Lupin,aspirin(5mg),10 tablets,200.14
Dolocin 40,Dabur Pharma,Losartan 20 mg,30 tablets,491.03
Clavtab 40,Sun Pharma,telmisartan 40mg,10 capsules,449.5
Doloplus 500,Pfizer India,CALCIUM CARBONATE-400mg,15 tablets,352.34
Cetsr 250,Wockhardt,METOPROLOL-20mg,30 tablets,301.61
Cetplus 250,GSK India,ranitidine(5mg),6 tablets,191.61
Brusol 10,Zydus Cadila,Calcium Carbonate (5mg),10 tablets,546.21
Bruxr 250,Dabur Pharma,Clonazepam (20mg),10 tablets,0.0
Cetod 250,Dr Reddy,AMOXICILLIN-20mg,30 tablets,0.0
Cetsr 20,Dr Reddy,cetirizine 400 mg,15 tablets,536.3
Amoxds 250,Cipla,SERTRALINE-20mg,10 capsules,0.0
Brucap 250,Sanofi India,Gabapentin (100mg),5 ml,0.0
Amoxsol 40,Hetero Drugs,FEXOFENADINE-1000mg,6 tablets,235.77
Omeplus 1000,Lupin,AZITHROMYCIN-40mg,15 tablets,53.16
Bruds 1000,Zydus Cadila,omeprazole(500mg),15 tablets,362.97
Augforte 1000,Lupin,montelukast 100mg,30 tablets,487.95
Brusr 40,Glenmark,PARACETAMOL-20mg,15 tablets,479.74
Omeforte 500,Torrent Pharma,Azithromycin 200  mg,15 tablets,115.67
Dolocap 40,Dabur Pharma,Fexofenadine 40  mg,5 ml,553.59
Metxr 250,Novartis India,Gabapentin 400  mg,10 capsules,351.93
Metcin 1000,Hetero Drugs,CIPROFLOXACIN-1000mg,10 tablets,338.56
Augcap 20,Zydus Cadila,metformin 500 mg,30 tablets,583.32
Cetxr 40,Lupin,CIPROFLOXACIN-500mg,6 tablets,23.6
Clavcap 250,GSK India,Cetirizine (200 mg),5 ml,94.96
Cetsr 40,Zydus Cadila,Paracetamol 200  mg,5 ml,90.95
Panplus 250,Pfizer India,sertraline 10 mg,5 ml,
Brusr 20,Sun Pharma,RANITIDINE-5mg,1 bottle,429.15
Omeds 10,Mankind Pharma,Montelukast 400 mg,30 tablets,586.93
Azeeod 250,Aurobindo Pharma,ZINC SULPHATE-500mg,15 tablets,491.4
Doloxr 500,Cipla,ONDANSETRON-1000mg,5 ml,167.79
Azeetab 250,Intas Pharma,CLOPIDOGREL-250mg,15 tablets,0.0
Pansol 1000,Alkem Labs,montelukast(5mg),6 tablets,58.34
Amoxcin 1000,Glenmark,Sertraline (500mg),10 tablets,452.99
Omeforte 10,Zydus Cadila,levothyroxine 1000 mg,6 tablets,538.73
Clavcin 1000,Aurobindo Pharma,metoprolol(250mg),1 bottle,103.44
Cetds 20,Zydus Cadila,OMEPRAZOLE-400mg,5 ml,595.43
Dolood 10,Glenmark,CLOPIDOGREL-20mg,30 tablets,31.69
Cetod 40,Dabur Pharma,aspirin(5mg),10 tablets,
Augforte 500,GSK India,Montelukast (400 mg),10 tablets,560.96
Augplus 10,Dr Reddy,Esomeprazole (500 mg),15 tablets,587.26
Doloplus 10,GSK India,amlodipine(10mg),10 tablets,250.15
Dolotab 40,Dabur Pharma,diclofenac(500 mg),30 tablets,252.61
Cettab 1000,Novartis India,AMOXICILLIN-500mg,10 tablets,230.49
Augsr 40,Dr Reddy,Ciprofloxacin 1000  mg,30 tablets,324.79
Bruforte 250,Wockhardt,Ranitidine 10 mg,15 tablets,195.83
Azeecap 10,Pfizer India,sertraline 10mg,10 tablets,94.14
Brusr 500,Hetero Drugs,Calcium Carbonate (1000 mg),5 ml,40.01
Cettab 1000,Mankind Pharma,fexofenadine 200mg,10 tablets,247.8
Pantab 10,Torrent Pharma,LEVOCETIRIZINE-5mg,15 tablets,210.48
Cetxr 1000,GSK India,Rosuvastatin 10  mg,10 capsules,548.26
Cetforte 40,Himalaya,Pregabalin (5mg),10 capsules,591.93
Augforte 250,Pfizer India,LEVOTHYROXINE-250mg,15 tablets,476.87
Clavtab 250,Pfizer India,PARACETAMOL-20mg,6 tablets,137.42
Dolosol 500,Aurobindo Pharma,gabapentin(40mg),15 tablets,
Omesr 40,Intas Pharma,esomeprazole 250mg,10 capsules,599.44
Cetsr 10,Glenmark,gabapentin(10 mg),10 tablets,228.89
Amoxod 250,Wockhardt,fexofenadine 1000 mg,6 tablets,597.26
Clavds 250,GSK India,Ibuprofen (10 mg),6 tablets,383.05
Augds 10,Abbott India,GLIMEPIRIDE-10mg,5 ml,75.78
Dolosol 20,Aurobindo Pharma,Rosuvastatin 20  mg,10 tablets,175.89
Pancin 500,Wockhardt,Levocetirizine (400mg),10 tablets,475.98
Brusol 20,Mankind Pharma,calcium carbonate 250 mg,10 capsules,584.31
Brucap 10,Zydus Cadila,Metformin 200  mg,6 tablets,543.27
Clavxr 40,Lupin,cetirizine(20mg),6 tablets,550.67
Brucin 40,Dr Reddy,Levothyroxine (5mg),10 tablets,463.86
Cetsr 40,Aurobindo Pharma,gabapentin(1000mg),10 tablets,381.85
Metxr 1000,Novartis India,CIPROFLOXACIN-100mg,5 ml,398.28
Clavtab 250,Lupin,Ibuprofen (200 mg),1 bottle,91.97
Omesr 250,Alkem Labs,atorvastatin 40 mg,1 bottle,252.94
Augcap 500,Glenmark,Doxycycline 10  mg,6 tablets,184.86
Augod 20,Glenmark,Calcium Carbonate (500mg),30 tablets,331.52
Pands 20,Sun Pharma,azithromycin(5mg),10 capsules,458.49
Omecap 1000,Zydus Cadila,doxycycline 250mg,15 tablets,170.01
Azeexr 500,GSK India,Pregabalin 100 mg,1 bottle,156.06
Clavplus 500,Himalaya,Telmisartan (1000 mg),5 ml,478.11
Dolood 250,Torrent Pharma,diclofenac(10 mg),5 ml,367.52
Azeeplus 20,Mankind Pharma,Esomeprazole 1000 mg,10 tablets,250.61
Cetforte 10,Sun Pharma,Clonazepam 500  mg,10 tablets,476.21
Panforte 40,Glenmark,ESOMEPRAZOLE-500mg,10 tablets,14.45
Amoxod 500,Dr Reddy,levothyroxine(400mg),1 bottle,320.14
Bruforte 1000,Wockhardt,calcium carbonate(1000mg),6 tablets,0.0
Ometab 10,Torrent Pharma,Fluoxetine (40 mg),1 bottle,109.31
Clavcin 10,Sun Pharma,methylcobalamin 250mg,6 tablets,176.34
Pantab 10,Glenmark,Gabapentin (5 mg),6 tablets,64.31
Azeeforte 10,Aurobindo Pharma,telmisartan 250 mg,10 tablets,370.49
Omecin 500,Hetero Drugs,Tramadol (40 mg),10 capsules,0.0
Omesol 40,Abbott India,Cetirizine 250  mg,15 tablets,542.15
Panplus 250,Cipla,paracetamol 500mg,10 tablets,164.13
Augtab 500,Zydus Cadila,RABEPRAZOLE-200mg,10 capsules,197.04
Metod 10,Sanofi India,Levocetirizine (20 mg),10 capsules,399.47
Amoxtab 1000,Torrent Pharma,Sertraline (400mg),5 ml,338.64
Metcin 40,GSK India,Doxycycline (1000mg),10 tablets,135.95
Azeeds 1000,Himalaya,CETIRIZINE-250mg,5 ml,458.21
Doloxr 10,Zydus Cadila,Metoprolol (5 mg),15 tablets,521.77
Amoxod 40,Wockhardt,domperidone 1000mg,15 tablets,68.42
Amoxcin 10,Pfizer India,Azithromycin (400mg),15 tablets,399.84
Cetxr 20,Wockhardt,pregabalin 1000mg,15 tablets,263.06
Brusol 1000,Aurobindo Pharma,Esomeprazole (10mg),6 tablets,120.15
Pansol 250,Wockhardt,calcium carbonate(40 mg),10 tablets,0.0
Azeetab 1000,Abbott India,amoxicillin 200 mg,10 tablets,142.07
Amoxsr 500,Abbott India,Ondansetron (1000 mg),6 tablets,109.25
Azeeod 10,Lupin,Calcium Carbonate (100mg),15 tablets,445.54
Dolosr 500,Mankind Pharma,Pantoprazole (250 mg),15 tablets,577.65
Panod 1000,Dr Reddy,ibuprofen 40mg,15 tablets,581.97
Panod 40,Cipla,Aspirin (40 mg),5 ml,594.32
Dolosr 10,Lupin,Pantoprazole (20mg),30 tablets,443.01
Doloplus 40,Pfizer India,fluoxetine 200mg,10 tablets,205.57
Azeecin 500,Torrent Pharma,Calcium Carbonate (40 mg),6 tablets,587.35
Clavxr 1000,Sun Pharma,Metoprolol 500  mg,15 tablets,130.13
Azeecap 1000,Novartis India,rabeprazole 10mg,1 bottle,546.91
Panod 20,Intas Pharma,vitamin d3 10 mg,15 tablets,423.49
Pansr 40,Intas Pharma,tramadol 200 mg,10 tablets,95.1
Amoxtab 1000,Intas Pharma,GLIMEPIRIDE-400mg,1 bottle,0.0
Amoxcin 10,Cipla,Glimepiride (200 mg),1 bottle,216.54
Azeecap 250,Sanofi India,amlodipine 500 mg,6 tablets,430.21
Pansr 1000,Intas Pharma,Fexofenadine (200 mg),15 tablets,155.25
Amoxcap 20,Intas Pharma,ondansetron 10mg,10 capsules,266.0
Azeesol 1000,Zydus Cadila,amlodipine 5mg,1 bottle,188.56
Brutab 500,Aurobindo Pharma,TRAMADOL-400mg,5 ml,319.73
Bruxr 10,Wockhardt,rosuvastatin 20 mg,1 bottle,24.38
Metod 20,Dabur Pharma,LEVOCETIRIZINE-1000mg,30 tablets,228.88
Pansr 20,Zydus Cadila,Glimepiride 500 mg,1 bottle,0.0
Omeplus 20,Glenmark,Metformin (200mg),10 capsules,293.03
Cetds 40,Alkem Labs,Vitamin D3 (5 mg),10 capsules,580.63
Augod 40,Sun Pharma,metoprolol 100mg,5 ml,126.81
Omesr 250,Abbott India,Azithromycin (5 mg),15 tablets,500.97
Metds 1000,GSK India,Azithromycin 100 mg,15 tablets,494.44
Pancap 500,Zydus Cadila,Zinc sulphate 10 mg,6 tablets,492.58
Amoxtab 20,GSK India,Gabapentin 5 mg,30 tablets,299.83
Panplus 10,Wockhardt,Cetirizine 20  mg,15 tablets,79.11
Augsr 1000,Hetero Drugs,Amoxicillin (20 mg),15 tablets,13.4
Azeetab 500,Sanofi India,alprazolam 5mg,1 bottle,396.3
Amoxxr 250,Torrent Pharma,CLOPIDOGREL-20mg,5 ml,550.37
Azeeplus 500,Sanofi India,sertraline(40mg),5 ml,421.08
Cetsol 250,Cipla,Vitamin D3 (1000 mg),10 tablets,401.83
Bruxr 250,Lupin,LEVOTHYROXINE-400mg,15 tablets,
Pancap 1000,Dabur Pharma,atorvastatin 20 mg,6 tablets,71.74
Augsr 40,Alkem Labs,METHYLCOBALAMIN-400mg,30 tablets,177.36
Omesol 250,Himalaya,Clonazepam (5mg),10 tablets,487.53
Cetds 10,Dr Reddy,levocetirizine(200 mg),30 tablets,120.56
Cettab 10,Dabur Pharma,alprazolam 500 mg,10 capsules,261.09
Omesr 500,Intas Pharma,omeprazole(20mg),10 tablets,
Cetplus 250,Hetero Drugs,Glimepiride 200 mg,10 tablets,324.38
Pands 40,Aurobindo Pharma,zinc sulphate 5 mg,10 capsules,535.95
Amoxsol 1000,Glenmark,Losartan (250mg),1 bottle,0.0
Augtab 20,Cipla,doxycycline 400 mg,15 tablets,543.36
Clavtab 20,Wockhardt,Amoxicillin (500 mg),10 capsules,291.43
Doloxr 10,Sanofi India,Cetirizine 500 mg,15 tablets,187.62
Clavxr 40,Alkem Labs,Ibuprofen (500mg),10 capsules,0.0
Cetxr 40,Aurobindo Pharma,Sertraline 500 mg,6 tablets,260.69
Brucin 500,Alkem Labs,zinc sulphate 500 mg,30 tablets,145.36
Metcin 250,Sun Pharma,Gabapentin (200 mg),5 ml,41.54
Cetod 10,Abbott India,levothyroxine(500 mg),30 tablets,291.39
Dolosol 10,GSK India,LOSARTAN-400mg,6 tablets,430.18
Azeeds 250,Torrent Pharma,glimepiride(400mg),30 tablets,39.97
Cetds 500,Dr Reddy,zinc sulphate 40 mg,15 tablets,188.52
Augtab 250,Pfizer India,METOPROLOL-500mg,6 tablets,0.0
Omecin 1000,Intas Pharma,Telmisartan 200  mg,5 ml,
Metxr 500,Cipla,Rabeprazole 1000  mg,15 tablets,398.68
Doloplus 20,Sun Pharma,amoxicillin 400 mg,10 capsules,0.0
Omeds 10,Cipla,Zinc sulphate 10  mg,5 ml,571.86
Clavds 1000,Himalaya,Gabapentin 20  mg,6 tablets,104.23
Amoxtab 500,Torrent Pharma,Aspirin (20mg),5 ml,464.63
Amoxod 250,Torrent Pharma,amoxicillin 200mg,6 tablets,81.59
Augcin 10,Pfizer India,Losartan 40 mg,10 tablets,29.91
Omeplus 20,Cipla,Pregabalin 5 mg,10 capsules,334.46
Metcap 500,GSK India,losartan 200mg,15 tablets,523.77
Dolocin 20,Pfizer India,amoxicillin(40mg),10 capsules,432.68
Panod 500,Hetero Drugs,Losartan (200mg),10 capsules,215.04
Clavforte 40,Alkem Labs,ALPRAZOLAM-1000mg,30 tablets,254.25
Doloforte 10,Dabur Pharma,metoprolol 250mg,5 ml,539.26
Amoxcap 20,Hetero Drugs,GLIMEPIRIDE-250mg,10 tablets,23.12
Bruod 250,Hetero Drugs,alprazolam(5 mg),15 tablets,396.98
Clavds 40,Himalaya,OMEPRAZOLE-1000mg,10 capsules,255.5
Azeeds 10,GSK India,clonazepam(500mg),6 tablets,195.63
Augforte 40,Hetero Drugs,ASPIRIN-250mg,15 tablets,583.66
Azeetab 1000,Hetero Drugs,Levocetirizine (500 mg),10 capsules,394.77
Metxr 40,Zydus Cadila,levocetirizine(400mg),10 capsules,354.18
Bruxr 20,Lupin,glimepiride 250 mg,10 tablets,590.08
Omexr 1000,Sun Pharma,Domperidone 40 mg,15 tablets,461.18
Cettab 500,Wockhardt,Cetirizine (20mg),10 tablets,312.82
Azeesol 40,Aurobindo Pharma,FEXOFENADINE-500mg,6 tablets,181.69
Pantab 40,Dabur Pharma,clopidogrel(200 mg),10 tablets,553.07
Cetcap 40,GSK India,diclofenac 10 mg,6 tablets,461.45
Dolosr 10,Himalaya,Omeprazole (20mg),10 capsules,197.7
Dolocin 20,Intas Pharma,TELMISARTAN-10mg,1 bottle,314.47
Cetcap 250,Aurobindo Pharma,fexofenadine 100mg,30 tablets,489.88
Clavforte 250,Torrent Pharma,doxycycline(10 mg),10 capsules,213.63
Amoxod 250,Mankind Pharma,FLUOXETINE-20mg,30 tablets,555.31
Clavcin 20,Mankind Pharma,doxycycline(400 mg),10 tablets,326.45
Brusr 20,Intas Pharma,IBUPROFEN-500mg,10 capsules,82.7
Omecap 1000,GSK India,Azithromycin 20  mg,30 tablets,441.13
Azeeforte 1000,Glenmark,Omeprazole (400mg),15 tablets,276.45
Azeeforte 500,Wockhardt,Atorvastatin (250 mg),10 tablets,506.13
Brusol 40,Zydus Cadila,AMOXICILLIN-250mg,10 capsules,123.84
Omeds 40,Zydus Cadila,ranitidine 40 mg,15 tablets,0.0
Cetcin 10,Dabur Pharma,atorvastatin(40 mg),15 tablets,415.29
Cetplus 500,Sanofi India,Aspirin 500  mg,6 tablets,526.02
Omesol 250,GSK India,ondansetron(500 mg),30 tablets,578.05
Brutab 500,Abbott India,levocetirizine 20 mg,6 tablets,283.12
Brusol 250,GSK India,Ondansetron 20 mg,10 capsules,180.23
Doloxr 10,Glenmark,levocetirizine(500mg),30 tablets,486.95
Panplus 10,Abbott India,Metformin 200 mg,30 tablets,250.61
Cetod 20,Dabur Pharma,doxycycline(10mg),30 tablets,19.79
Pands 500,Novartis India,omeprazole 250 mg,10 tablets,222.36
Cetforte 1000,Intas Pharma,GABAPENTIN-1000mg,5 ml,252.73
Azeexr 10,Sanofi India,Paracetamol (500mg),10 tablets,
Bruxr 500,Lupin,aspirin 500mg,5 ml,492.43
Pands 20,Wockhardt,atorvastatin(1000mg),10 tablets,552.03
Doloxr 20,Intas Pharma,ondansetron(5mg),5 ml,448.14
Amoxxr 250,GSK India,cetirizine(200mg),1 bottle,139.57
Pansr 40,Abbott India,glimepiride(400 mg),1 bottle,241.04
