medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Panxr 500,Intas Pharma,AMOXICILLIN-1000mg,30 tablets,19.08,amoxicillin 1000mg,10
Metsol 250,Glenmark,telmisartan(20 mg),10 tablets,427.73,telmisartan 20mg,7
Augsr 500,Pfizer India,clopidogrel 250 mg,15 tablets,323.09,clopidogrel 250mg,14
Augds 1000,Dr Reddy,ondansetron(500mg),6 tablets,57.19,ondansetron 500mg,5
Augcin 500,Pfizer India,montelukast 100mg,6 tablets,377.92,montelukast 100mg,14
Augsol 10,Intas Pharma,Fexofenadine (10 mg),10 capsules,553.34,fexofenadine 10mg,10
Omeod 1000,Alkem Labs,Azithromycin 10 mg,15 tablets,113.74,azithromycin 10mg,1
Metxr 20,Hetero Drugs,Ondansetron 400  mg,5 ml,173.1,ondansetron 400mg,8
Metxr 10,Novartis India,levothyroxine(5 mg),1 bottle,456.04,levothyroxine 5mg,13
Azeeforte 10,Intas Pharma,Pantoprazole 40 mg,10 tablets,396.46,pantoprazole 40mg,10
Panod 500,Wockhardt,Vitamin d3 10  mg,15 tablets,90.03,vitamin d3 10mg,18
Clavsol 500,Sun Pharma,Calcium carbonate 200  mg,30 tablets,345.03,calcium carbonate 200mg,16
Azeesol 500,Aurobindo Pharma,esomeprazole(250mg),10 capsules,279.0,esomeprazole 250mg,2
Omecin 500,Zydus Cadila,sertraline 5mg,30 tablets,349.94,sertraline 5mg,19
Omeod 1000,Pfizer India,DICLOFENAC-400mg,10 capsules,524.27,diclofenac 400mg,14
Azeesr 10,Wockhardt,Atorvastatin (250mg),5 ml,49.66,atorvastatin 250mg,18
Azeesr 10,Aurobindo Pharma,ondansetron 500mg,6 tablets,474.15,ondansetron 500mg,2
Dolocap 500,Hetero Drugs,VITAMIN D3-10mg,1 bottle,478.97,vitamin d3 10mg,8
Amoxforte 1000,Abbott India,Atorvastatin 20  mg,5 ml,416.0,atorvastatin 20mg,0
Cetcap 20,Dabur Pharma,losartan 200 mg,10 tablets,178.75,losartan 200mg,4
Amoxsr 40,Mankind Pharma,esomeprazole 100mg,10 capsules,268.4,esomeprazole 100mg,12
Bruplus 40,Intas Pharma,amlodipine(20mg),5 ml,142.93,amlodipine 20mg,10
Azeeds 10,Torrent Pharma,Metoprolol (200 mg),30 tablets,290.37,metoprolol 200mg,17
Doloxr 10,Glenmark,metoprolol(200 mg),10 capsules,391.84,metoprolol 200mg,7
Metplus 500,Dr Reddy,Sertraline (1000 mg),30 tablets,140.79,sertraline 1000mg,5
Clavcin 40,GSK India,azithromycin 5mg,1 bottle,508.68,azithromycin 5mg,6
Omeforte 20,Cipla,ciprofloxacin 5mg,1 bottle,47.78,ciprofloxacin 5mg,3
Azeesol 500,Pfizer India,Gabapentin (1000mg),10 capsules,159.59,gabapentin 1000mg,14
Clavplus 20,Mankind Pharma,Aspirin 400 mg,10 tablets,172.27,aspirin 400mg,12
Metsol 500,Intas Pharma,atorvastatin(20mg),10 tablets,354.72,atorvastatin 20mg,10
Augtab 10,Dr Reddy,gabapentin 500mg,15 tablets,57.36,gabapentin 500mg,5
Clavxr 250,Himalaya,doxycycline 40 mg,10 tablets,434.23,doxycycline 40mg,9
Bruod 1000,Torrent Pharma,Vitamin D3 (20 mg),5 ml,299.62,vitamin d3 20mg,17
Azeesol 1000,Torrent Pharma,alprazolam 100mg,5 ml,170.97,alprazolam 100mg,17
Dolods 10,GSK India,DICLOFENAC-10mg,10 tablets,301.51,diclofenac 10mg,6
Azeecap 500,Glenmark,Montelukast 10 mg,6 tablets,469.04,montelukast 10mg,7
Omeplus 20,Sanofi India,alprazolam 100mg,1 bottle,132.49,alprazolam 100mg,15
Cetforte 20,Mankind Pharma,DOMPERIDONE-1000mg,10 capsules,588.84,domperidone 1000mg,12
Amoxforte 500,GSK India,telmisartan 400mg,5 ml,189.29,telmisartan 400mg,6
Bruxr 250,Wockhardt,levothyroxine 20 mg,10 capsules,459.24,levothyroxine 20mg,18
Metsol 40,Torrent Pharma,Rosuvastatin 20 mg,10 tablets,432.27,rosuvastatin 20mg,17
Azeesol 500,Glenmark,Levothyroxine 10  mg,10 capsules,373.59,levothyroxine 10mg,7
Augod 10,Glenmark,ATORVASTATIN-400mg,6 tablets,571.61,atorvastatin 400mg,7
Clavxr 250,Torrent Pharma,RABEPRAZOLE-40mg,10 capsules,68.05,rabeprazole 40mg,17
Cettab 1000,Lupin,esomeprazole 20 mg,1 bottle,586.49,esomeprazole 20mg,11
Azeetab 10,Himalaya,metoprolol 200 mg,15 tablets,153.17,metoprolol 200mg,9
Pancap 250,Intas Pharma,losartan(400 mg),6 tablets,523.47,losartan 400mg,10
Augsol 10,Mankind Pharma,ESOMEPRAZOLE-20mg,30 tablets,222.42,esomeprazole 20mg,12
Omexr 10,Sun Pharma,losartan(200mg),15 tablets,242.61,losartan 200mg,16
Clavxr 250,Hetero Drugs,clonazepam(500mg),10 tablets,576.19,clonazepam 500mg,8
Ometab 20,Himalaya,gabapentin 40 mg,30 tablets,62.55,gabapentin 40mg,9
Clavsol 250,Himalaya,Pantoprazole (5 mg),1 bottle,462.13,pantoprazole 5mg,9
Clavforte 10,Dr Reddy,diclofenac 20mg,15 tablets,320.41,diclofenac 20mg,5
Panod 10,Himalaya,Fexofenadine 250 mg,30 tablets,19.17,fexofenadine 250mg,9
Augsol 20,Glenmark,losartan(400mg),10 capsules,555.81,losartan 400mg,7
Amoxcap 250,Zydus Cadila,METHYLCOBALAMIN-20mg,15 tablets,23.52,methylcobalamin 20mg,19
Dolosol 40,Dr Reddy,amlodipine 400 mg,30 tablets,131.61,amlodipine 400mg,5
Cetsr 250,Hetero Drugs,TELMISARTAN-400mg,10 tablets,501.82,telmisartan 400mg,8
Brusol 500,Pfizer India,Doxycycline (1000 mg),1 bottle,464.42,doxycycline 1000mg,14
Cetsol 250,Sanofi India,ranitidine(5 mg),10 tablets,564.89,ranitidine 5mg,15
Azeeforte 10,Alkem Labs,LEVOTHYROXINE-10mg,10 tablets,159.13,levothyroxine 10mg,1
Omeforte 1000,Aurobindo Pharma,Paracetamol 1000  mg,5 ml,567.87,paracetamol 1000mg,2
Panplus 40,Aurobindo Pharma,Montelukast (400mg),1 bottle,391.24,montelukast 400mg,2
Azeecap 500,Sun Pharma,aspirin(40mg),15 tablets,419.48,aspirin 40mg,16
Cetxr 500,Dabur Pharma,doxycycline 100mg,1 bottle,111.39,doxycycline 100mg,4
Augsol 1000,Mankind Pharma,Ranitidine (500 mg),10 tablets,246.96,ranitidine 500mg,12
Pansr 250,Sun Pharma,Zinc Sulphate (250 mg),30 tablets,443.09,zinc sulphate 250mg,16
Cettab 250,Sanofi India,gabapentin(1000 mg),15 tablets,214.41,gabapentin 1000mg,15
Azeeforte 20,Zydus Cadila,sertraline 40 mg,30 tablets,403.71,sertraline 40mg,19
Cetcap 500,Abbott India,METHYLCOBALAMIN-5mg,10 capsules,398.25,methylcobalamin 5mg,0
Cetplus 1000,Abbott India,GLIMEPIRIDE-10mg,30 tablets,428.59,glimepiride 10mg,0
Bruforte 40,Zydus Cadila,clonazepam 200 mg,30 tablets,93.97,clonazepam 200mg,19
Cetcin 500,Mankind Pharma,RABEPRAZOLE-500mg,10 tablets,103.84,rabeprazole 500mg,12
Augsol 10,Himalaya,SERTRALINE-500mg,1 bottle,375.82,sertraline 500mg,9
Amoxforte 10,Glenmark,telmisartan 5 mg,15 tablets,465.03,telmisartan 5mg,7
Doloxr 40,Dr Reddy,clopidogrel 5 mg,5 ml,23.05,clopidogrel 5mg,5
Amoxcap 1000,Novartis India,Tramadol (10mg),6 tablets,189.76,tramadol 10mg,13
Azeeds 250,Zydus Cadila,rosuvastatin(5 mg),10 capsules,481.75,rosuvastatin 5mg,19
Cetod 500,Mankind Pharma,clonazepam 40mg,10 tablets,507.2,clonazepam 40mg,12
Bruplus 10,Torrent Pharma,ZINC SULPHATE-10mg,10 tablets,541.37,zinc sulphate 10mg,17
Omeplus 40,Intas Pharma,TRAMADOL-250mg,10 tablets,337.01,tramadol 250mg,10
Cetsr 500,Wockhardt,Zinc Sulphate (1000mg),15 tablets,460.64,zinc sulphate 1000mg,18
Clavsol 500,Wockhardt,ASPIRIN-1000mg,1 bottle,501.92,aspirin 1000mg,18
Clavcap 500,Lupin,Telmisartan 20 mg,6 tablets,270.48,telmisartan 20mg,11
Omeod 10,Intas Pharma,paracetamol(10mg),10 capsules,145.45,paracetamol 10mg,10
Doloplus 250,Dr Reddy,GABAPENTIN-20mg,5 ml,233.85,gabapentin 20mg,5
Augplus 500,Mankind Pharma,tramadol(10 mg),6 tablets,317.52,tramadol 10mg,12
Bruxr 250,GSK India,CALCIUM CARBONATE-500mg,5 ml,385.73,calcium carbonate 500mg,6
Amoxforte 250,Glenmark,telmisartan(200mg),1 bottle,15.65,telmisartan 200mg,7
Amoxtab 40,Himalaya,VITAMIN D3-40mg,1 bottle,296.81,vitamin d3 40mg,9
Omeod 40,Cipla,Calcium carbonate 5  mg,10 capsules,572.81,calcium carbonate 5mg,3
Brucin 1000,Dabur Pharma,aspirin(500 mg),1 bottle,391.08,aspirin 500mg,4
Pansol 20,Wockhardt,Clonazepam 500 mg,6 tablets,115.0,clonazepam 500mg,18
Amoxforte 40,Pfizer India,Glimepiride (10 mg),5 ml,211.68,glimepiride 10mg,14
Amoxcap 500,Pfizer India,diclofenac 500mg,6 tablets,338.62,diclofenac 500mg,14
Omeforte 1000,GSK India,ONDANSETRON-500mg,5 ml,372.91,ondansetron 500mg,6
Omexr 1000,Lupin,ciprofloxacin 250 mg,6 tablets,376.11,ciprofloxacin 250mg,11
Augforte 500,Hetero Drugs,Domperidone 200 mg,30 tablets,575.91,domperidone 200mg,8
Azeeds 500,Novartis India,vitamin d3(100mg),30 tablets,243.6,vitamin d3 100mg,13
Dolods 1000,Zydus Cadila,omeprazole 1000 mg,6 tablets,242.88,omeprazole 1000mg,19
Augcin 500,Glenmark,Glimepiride (200 mg),15 tablets,332.41,glimepiride 200mg,7
Azeeod 500,Wockhardt,Zinc sulphate 40  mg,10 capsules,252.1,zinc sulphate 40mg,18
Amoxxr 1000,Hetero Drugs,methylcobalamin 1000 mg,5 ml,223.79,methylcobalamin 1000mg,8
Metds 20,Zydus Cadila,Gabapentin (500 mg),30 tablets,84.23,gabapentin 500mg,19
Clavsol 40,Glenmark,alprazolam(40 mg),10 tablets,214.22,alprazolam 40mg,7
Pansr 20,Himalaya,ciprofloxacin 20 mg,5 ml,267.22,ciprofloxacin 20mg,9
Panforte 10,Pfizer India,pantoprazole(250mg),10 capsules,521.61,pantoprazole 250mg,14
Panod 10,Torrent Pharma,atorvastatin(200mg),6 tablets,263.05,atorvastatin 200mg,17
Amoxforte 500,Intas Pharma,Ondansetron 5 mg,10 capsules,345.36,ondansetron 5mg,10
Panod 250,Glenmark,metoprolol(400 mg),5 ml,429.57,metoprolol 400mg,7
Cetsol 500,Wockhardt,atorvastatin(1000mg),6 tablets,588.03,atorvastatin 1000mg,18
Ometab 10,Lupin,Ranitidine 250 mg,30 tablets,347.81,ranitidine 250mg,11
Dolocap 250,Zydus Cadila,Levocetirizine 1000  mg,5 ml,192.23,levocetirizine 1000mg,19
Brusol 500,Mankind Pharma,Losartan (40 mg),30 tablets,215.91,losartan 40mg,12
Clavcin 20,Torrent Pharma,diclofenac(10mg),10 tablets,43.01,diclofenac 10mg,17
Amoxcin 20,Glenmark,Clonazepam (250mg),1 bottle,341.51,clonazepam 250mg,7
Dolotab 40,Novartis India,DOMPERIDONE-40mg,15 tablets,548.27,domperidone 40mg,13
Augcin 20,Zydus Cadila,diclofenac(40mg),5 ml,30.95,diclofenac 40mg,19
Cetod 20,Lupin,azithromycin 100mg,30 tablets,107.09,azithromycin 100mg,11
Brusr 250,Novartis India,Metoprolol 250  mg,5 ml,403.87,metoprolol 250mg,13
Brucin 1000,Alkem Labs,Metoprolol 400 mg,5 ml,42.71,metoprolol 400mg,1
Dolods 20,Dr Reddy,vitamin d3(10mg),6 tablets,348.45,vitamin d3 10mg,5
Augsol 1000,Glenmark,gabapentin 5mg,15 tablets,566.99,gabapentin 5mg,7
Dolods 10,GSK India,Omeprazole (40 mg),10 tablets,368.92,omeprazole 40mg,6
Omeplus 20,Cipla,glimepiride(500mg),15 tablets,450.73,glimepiride 500mg,3
Amoxxr 500,Sun Pharma,levothyroxine(500mg),10 tablets,216.25,levothyroxine 500mg,16
Dolocin 500,Mankind Pharma,fexofenadine(5 mg),10 capsules,66.4,fexofenadine 5mg,12
Clavod 250,GSK India,LEVOTHYROXINE-1000mg,15 tablets,34.78,levothyroxine 1000mg,6
Dolocap 10,Abbott India,Azithromycin (100mg),6 tablets,497.33,azithromycin 100mg,0
Clavplus 10,Dabur Pharma,AMOXICILLIN-20mg,15 tablets,410.79,amoxicillin 20mg,4
Panxr 10,Wockhardt,montelukast 5mg,6 tablets,231.26,montelukast 5mg,18
Brucin 40,Sun Pharma,fluoxetine(200mg),6 tablets,462.14,fluoxetine 200mg,16
Augtab 500,Mankind Pharma,Atorvastatin (10mg),5 ml,325.87,atorvastatin 10mg,12
Clavplus 250,Intas Pharma,ondansetron(100mg),30 tablets,458.51,ondansetron 100mg,10
Cetds 250,GSK India,domperidone(1000mg),15 tablets,285.62,domperidone 1000mg,6
Bruod 1000,Dr Reddy,Rabeprazole (40mg),15 tablets,267.36,rabeprazole 40mg,5
Dolocin 20,Alkem Labs,AMOXICILLIN-5mg,6 tablets,16.41,amoxicillin 5mg,1
Panxr 10,Pfizer India,losartan 40mg,15 tablets,98.63,losartan 40mg,14
Augtab 500,Pfizer India,ranitidine 5mg,10 tablets,364.18,ranitidine 5mg,14
Omexr 20,Lupin,Pregabalin (250 mg),6 tablets,324.29,pregabalin 250mg,11
Panod 20,Abbott India,Rabeprazole (200 mg),5 ml,51.76,rabeprazole 200mg,0
Augsol 40,Dabur Pharma,methylcobalamin 1000 mg,1 bottle,298.41,methylcobalamin 1000mg,4
Dolosol 500,Pfizer India,TRAMADOL-40mg,10 capsules,177.82,tramadol 40mg,14
Panxr 1000,Hetero Drugs,RABEPRAZOLE-200mg,6 tablets,93.24,rabeprazole 200mg,8
Dolosol 10,Zydus Cadila,Gabapentin 400 mg,5 ml,257.32,gabapentin 400mg,19
Doloxr 500,Hetero Drugs,Diclofenac 1000  mg,30 tablets,436.2,diclofenac 1000mg,8
Augds 10,Dabur Pharma,DOMPERIDONE-200mg,30 tablets,229.89,domperidone 200mg,4
Clavxr 250,Pfizer India,sertraline(10mg),30 tablets,126.05,sertraline 10mg,14
Pansol 10,Mankind Pharma,Rabeprazole 5  mg,1 bottle,343.9,rabeprazole 5mg,12
Metcap 10,Himalaya,Methylcobalamin 20 mg,5 ml,195.36,methylcobalamin 20mg,9
Metcap 500,Glenmark,Metformin (250 mg),30 tablets,190.08,metformin 250mg,7
Cetplus 1000,GSK India,Levothyroxine 200  mg,30 tablets,68.09,levothyroxine 200mg,6
Clavxr 500,Lupin,Metoprolol 40 mg,10 capsules,340.51,metoprolol 40mg,11
Omecin 500,Zydus Cadila,Telmisartan (400mg),1 bottle,529.1,telmisartan 400mg,19
Clavcap 10,Pfizer India,ibuprofen 200 mg,10 capsules,537.24,ibuprofen 200mg,14
Omecap 500,Dr Reddy,methylcobalamin 500 mg,30 tablets,377.43,methylcobalamin 500mg,5
Omeforte 20,Intas Pharma,azithromycin 5mg,6 tablets,590.27,azithromycin 5mg,10
Amoxsol 20,Hetero Drugs,VITAMIN D3-10mg,5 ml,173.91,vitamin d3 10mg,8
Metplus 1000,Cipla,FLUOXETINE-250mg,6 tablets,273.77,fluoxetine 250mg,3
Panplus 40,Aurobindo Pharma,Rabeprazole 5 mg,1 bottle,230.08,rabeprazole 5mg,2
Amoxds 500,Zydus Cadila,fexofenadine 10 mg,30 tablets,297.39,fexofenadine 10mg,19
Cettab 500,Lupin,omeprazole(250 mg),10 tablets,52.05,omeprazole 250mg,11
Panforte 20,Sun Pharma,Aspirin (1000mg),6 tablets,49.67,aspirin 1000mg,16
Pancap 500,Dabur Pharma,Tramadol (250 mg),10 tablets,551.46,tramadol 250mg,4
Pantab 10,Abbott India,Omeprazole 250 mg,15 tablets,197.68,omeprazole 250mg,0
Amoxod 250,Mankind Pharma,domperidone(40 mg),1 bottle,269.97,domperidone 40mg,12
Mettab 40,Novartis India,DOMPERIDONE-200mg,10 capsules,458.91,domperidone 200mg,13
Clavxr 20,Himalaya,Ciprofloxacin 40 mg,30 tablets,387.23,ciprofloxacin 40mg,9
Amoxplus 500,Sun Pharma,rosuvastatin(400mg),6 tablets,46.27,rosuvastatin 400mg,16
Omeforte 20,Pfizer India,Metformin (10 mg),10 tablets,464.66,metformin 10mg,14
Dolosr 1000,Torrent Pharma,calcium carbonate(1000mg),6 tablets,447.38,calcium carbonate 1000mg,17
Clavcap 250,Alkem Labs,fluoxetine(250 mg),15 tablets,416.99,fluoxetine 250mg,1
Dolocin 10,Zydus Cadila,Amlodipine 250  mg,1 bottle,476.49,amlodipine 250mg,19
Brusr 500,Lupin,VITAMIN D3-40mg,10 tablets,168.37,vitamin d3 40mg,11
Metsr 20,Torrent Pharma,pantoprazole(100mg),15 tablets,436.45,pantoprazole 100mg,17
Omeforte 40,Hetero Drugs,Pantoprazole (40 mg),10 tablets,290.21,pantoprazole 40mg,8
Amoxcap 1000,GSK India,Fluoxetine 5 mg,10 tablets,381.23,fluoxetine 5mg,6
Metforte 40,Alkem Labs,ESOMEPRAZOLE-10mg,30 tablets,550.12,esomeprazole 10mg,1
Metcap 1000,Glenmark,pregabalin(250 mg),6 tablets,470.7,pregabalin 250mg,7
Augcin 1000,GSK India,VITAMIN D3-400mg,10 capsules,310.49,vitamin d3 400mg,6
Augod 40,Sanofi India,Zinc Sulphate (250 mg),1 bottle,165.48,zinc sulphate 250mg,15
Metsol 40,Cipla,telmisartan 20mg,1 bottle,9.81,telmisartan 20mg,3
Dolood 20,Glenmark,pregabalin 20mg,1 bottle,126.43,pregabalin 20mg,7
Metds 20,Cipla,calcium carbonate 10mg,6 tablets,175.21,calcium carbonate 10mg,3
Amoxcin 250,Alkem Labs,paracetamol 100mg,15 tablets,393.77,paracetamol 100mg,1
Cetod 10,Aurobindo Pharma,Tramadol 20 mg,10 capsules,457.01,tramadol 20mg,2
Clavcin 40,Mankind Pharma,Fexofenadine 250  mg,30 tablets,175.48,fexofenadine 250mg,12
Omecap 500,GSK India,ALPRAZOLAM-500mg,10 tablets,68.53,alprazolam 500mg,6
Bruforte 250,Glenmark,omeprazole 500 mg,10 tablets,299.53,omeprazole 500mg,7
Metsr 500,Dr Reddy,ondansetron(20mg),5 ml,76.23,ondansetron 20mg,5
Metsr 250,Sun Pharma,aspirin(500mg),10 tablets,32.97,aspirin 500mg,16
Brucin 20,Glenmark,amlodipine 5 mg,1 bottle,461.2,amlodipine 5mg,7
Clavcin 500,Cipla,Levocetirizine (400 mg),15 tablets,143.87,levocetirizine 400mg,3
Azeexr 500,Novartis India,zinc sulphate 100mg,30 tablets,502.21,zinc sulphate 100mg,13
Amoxsr 250,Aurobindo Pharma,domperidone 250 mg,10 tablets,271.76,domperidone 250mg,2
Brutab 40,Lupin,ONDANSETRON-5mg,10 tablets,560.39,ondansetron 5mg,11
Augcin 40,Intas Pharma,montelukast(5mg),30 tablets,378.66,montelukast 5mg,10
Pansol 500,Sun Pharma,losartan(5mg),30 tablets,517.33,losartan 5mg,16
Cetsr 10,Aurobindo Pharma,Rabeprazole 250  mg,10 capsules,340.01,rabeprazole 250mg,2
Panod 250,Lupin,aspirin(1000mg),10 tablets,515.44,aspirin 1000mg,11
Omecin 1000,Himalaya,Montelukast 20  mg,15 tablets,135.46,montelukast 20mg,9
Panplus 250,Wockhardt,esomeprazole 1000mg,6 tablets,539.92,esomeprazole 1000mg,18
Pantab 250,GSK India,Doxycycline (10mg),15 tablets,437.09,doxycycline 10mg,6
Clavsr 250,Sun Pharma,pregabalin 200mg,6 tablets,441.01,pregabalin 200mg,16
Augxr 500,GSK India,Rabeprazole (250mg),1 bottle,583.96,rabeprazole 250mg,6
Amoxcin 40,GSK India,atorvastatin 200mg,15 tablets,169.0,atorvastatin 200mg,6
Bruds 40,Himalaya,Diclofenac (250mg),5 ml,297.21,diclofenac 250mg,9
Dolosr 10,Dr Reddy,metformin 100mg,10 capsules,330.4,metformin 100mg,5
Doloxr 500,Glenmark,PREGABALIN-400mg,6 tablets,351.49,pregabalin 400mg,7
Doloxr 250,Novartis India,Glimepiride 20 mg,1 bottle,364.47,glimepiride 20mg,13
Cetcin 1000,Novartis India,Rosuvastatin 20  mg,5 ml,307.76,rosuvastatin 20mg,13
Clavcap 500,Mankind Pharma,calcium carbonate(250 mg),5 ml,496.21,calcium carbonate 250mg,12
Omeod 250,Cipla,azithromycin(5 mg),10 capsules,158.79,azithromycin 5mg,3
Dolods 10,Lupin,Ciprofloxacin 250  mg,30 tablets,317.69,ciprofloxacin 250mg,11
Amoxsol 10,Zydus Cadila,Alprazolam 10 mg,10 tablets,187.29,alprazolam 10mg,19
Omesol 500,Sun Pharma,Domperidone (250mg),30 tablets,497.97,domperidone 250mg,16
Brucin 40,Hetero Drugs,Diclofenac 10 mg,6 tablets,361.76,diclofenac 10mg,8
Clavod 250,Himalaya,montelukast(10 mg),1 bottle,410.04,montelukast 10mg,9
Bruds 250,GSK India,rosuvastatin 250mg,5 ml,258.24,rosuvastatin 250mg,6
Omesr 1000,Cipla,Fluoxetine 250 mg,1 bottle,329.89,fluoxetine 250mg,3
Clavsr 250,Glenmark,Cetirizine 20  mg,15 tablets,199.14,cetirizine 20mg,7
Pancap 20,Wockhardt,diclofenac(5mg),10 tablets,518.73,diclofenac 5mg,18
Amoxod 10,Mankind Pharma,diclofenac(1000mg),1 bottle,482.37,diclofenac 1000mg,12
Cettab 500,Lupin,Calcium carbonate 250  mg,6 tablets,293.43,calcium carbonate 250mg,11
Metforte 40,Intas Pharma,Ranitidine (1000 mg),15 tablets,353.47,ranitidine 1000mg,10
Clavod 250,Zydus Cadila,AZITHROMYCIN-10mg,15 tablets,267.35,azithromycin 10mg,19
Brusr 250,Novartis India,ibuprofen 5 mg,10 tablets,173.11,ibuprofen 5mg,13
Bruds 500,Hetero Drugs,atorvastatin 1000mg,1 bottle,544.72,atorvastatin 1000mg,8
Metsr 40,Mankind Pharma,pantoprazole(1000mg),6 tablets,597.94,pantoprazole 1000mg,12
Azeecin 500,Wockhardt,atorvastatin(40mg),10 tablets,127.85,atorvastatin 40mg,18
Metsol 40,GSK India,AMLODIPINE-250mg,5 ml,289.06,amlodipine 250mg,6
Cetds 500,Dr Reddy,rabeprazole(400 mg),15 tablets,517.82,rabeprazole 400mg,5
Bruforte 500,Abbott India,ATORVASTATIN-200mg,6 tablets,498.16,atorvastatin 200mg,0
Doloxr 10,Sun Pharma,Amoxicillin 250  mg,15 tablets,367.01,amoxicillin 250mg,16
Cetsol 20,Sanofi India,amlodipine(40 mg),1 bottle,316.59,amlodipine 40mg,15
Omecap 40,Dr Reddy,Calcium carbonate 250 mg,10 capsules,31.65,calcium carbonate 250mg,5
Amoxsr 20,Dabur Pharma,clopidogrel(100mg),30 tablets,296.77,clopidogrel 100mg,4
Clavcap 10,Dabur Pharma,vitamin d3(400 mg),6 tablets,207.55,vitamin d3 400mg,4
Amoxplus 1000,Dr Reddy,gabapentin(5 mg),30 tablets,359.9,gabapentin 5mg,5
Amoxsol 1000,Alkem Labs,levothyroxine(400mg),30 tablets,314.46,levothyroxine 400mg,1
Amoxsol 40,Zydus Cadila,fexofenadine(5mg),5 ml,414.1,fexofenadine 5mg,19
Omeplus 40,Sanofi India,doxycycline(20 mg),15 tablets,154.24,doxycycline 20mg,15
Brusr 40,Hetero Drugs,Clopidogrel 40 mg,15 tablets,168.28,clopidogrel 40mg,8
Clavplus 20,Pfizer India,Domperidone 200 mg,10 capsules,343.93,domperidone 200mg,14
Bruxr 1000,Lupin,fexofenadine(40 mg),1 bottle,78.71,fexofenadine 40mg,11
Azeeds 1000,Torrent Pharma,Metformin (500mg),10 tablets,83.43,metformin 500mg,17
Pantab 1000,Himalaya,Fexofenadine (5mg),10 tablets,586.29,fexofenadine 5mg,9
Brusol 20,Mankind Pharma,VITAMIN D3-250mg,5 ml,372.85,vitamin d3 250mg,12
Metxr 500,Lupin,Zinc sulphate 200 mg,10 tablets,151.28,zinc sulphate 200mg,11
Amoxxr 20,Sun Pharma,Ciprofloxacin (200mg),15 tablets,517.65,ciprofloxacin 200mg,16
Augsr 500,Wockhardt,Ciprofloxacin (10mg),6 tablets,445.59,ciprofloxacin 10mg,18
Dolocap 40,Dabur Pharma,Alprazolam 1000  mg,15 tablets,53.8,alprazolam 1000mg,4
Doloxr 1000,Alkem Labs,PANTOPRAZOLE-1000mg,30 tablets,155.27,pantoprazole 1000mg,1
Omesr 40,Himalaya,Calcium Carbonate (40 mg),15 tablets,481.66,calcium carbonate 40mg,9
Augxr 250,Wockhardt,Rabeprazole 250 mg,6 tablets,266.92,rabeprazole 250mg,18
Amoxcap 10,Pfizer India,omeprazole 5 mg,15 tablets,172.88,omeprazole 5mg,14
Omeod 250,Dr Reddy,montelukast(40mg),15 tablets,346.98,montelukast 40mg,5
Cetsol 250,GSK India,ranitidine(100mg),1 bottle,486.18,ranitidine 100mg,6
Omesr 20,Mankind Pharma,atorvastatin 10mg,10 capsules,458.43,atorvastatin 10mg,12
Cetplus 20,Glenmark,Ranitidine (400mg),5 ml,489.48,ranitidine 400mg,7
Cetcap 500,Cipla,ONDANSETRON-20mg,1 bottle,518.12,ondansetron 20mg,3
Omesol 500,Pfizer India,TELMISARTAN-20mg,15 tablets,386.96,telmisartan 20mg,14
Azeesr 40,Intas Pharma,Rabeprazole (20mg),1 bottle,454.52,rabeprazole 20mg,10
Clavod 40,Hetero Drugs,clonazepam(20 mg),5 ml,503.88,clonazepam 20mg,8
Pansol 250,GSK India,levocetirizine(40mg),15 tablets,363.08,levocetirizine 40mg,6
Dolocin 1000,Aurobindo Pharma,Calcium carbonate 10  mg,30 tablets,296.44,calcium carbonate 10mg,2
Amoxxr 500,Zydus Cadila,metoprolol(20 mg),6 tablets,92.25,metoprolol 20mg,19
Augforte 500,Pfizer India,Losartan 40  mg,6 tablets,282.27,losartan 40mg,14
Dolosr 10,Hetero Drugs,metoprolol 10mg,10 tablets,533.13,metoprolol 10mg,8
Pansr 250,Novartis India,glimepiride(500 mg),1 bottle,216.67,glimepiride 500mg,13
Azeeplus 250,Zydus Cadila,Pantoprazole (250mg),6 tablets,22.61,pantoprazole 250mg,19
Clavsr 1000,Glenmark,Ibuprofen 20  mg,5 ml,376.09,ibuprofen 20mg,7
Augxr 20,Pfizer India,Clonazepam (200 mg),5 ml,29.4,clonazepam 200mg,14
Bruforte 40,Zydus Cadila,Methylcobalamin (5 mg),5 ml,430.85,methylcobalamin 5mg,19
Metxr 500,Wockhardt,PARACETAMOL-20mg,10 capsules,260.73,paracetamol 20mg,18
Panplus 40,Mankind Pharma,Doxycycline (250mg),5 ml,293.74,doxycycline 250mg,12
Augforte 20,Dr Reddy,Pantoprazole (40 mg),6 tablets,438.93,pantoprazole 40mg,5
Doloforte 20,Novartis India,losartan(200 mg),5 ml,100.11,losartan 200mg,13
Panxr 10,Abbott India,clonazepam(200mg),15 tablets,169.14,clonazepam 200mg,0
Amoxtab 500,Intas Pharma,ondansetron(500mg),5 ml,336.57,ondansetron 500mg,10
Azeeds 1000,Lupin,ASPIRIN-20mg,6 tablets,252.29,aspirin 20mg,11
Panforte 1000,Wockhardt,ONDANSETRON-10mg,1 bottle,77.99,ondansetron 10mg,18
Brusol 1000,Alkem Labs,fluoxetine(1000 mg),1 bottle,152.0,fluoxetine 1000mg,1
